0;Вы - мотоциклист,едете по трассе на море на классическом мотоцикле.Уже преодолено много километров и Вы в предвкушении отдыха.У придорожного кафе Вы встретили байкеров,один из них назвался Димон.А Вас как зовут?;0
1;"Димон! продай свой туристический мотоцикл" - попросили вы. "Нее, мот не продается, могу только поменять на что-нибудь. Эээ, например, на твой классический мот!" - ответил он. Соглашаетесь?;2
2;Вы сели на туриста и погнали дальше. Вдруг вы встретили развилку с указателем. На указателе была надпись,из которой следовало,что :Направо поедешь – дольше,но по хай вэй, налево поедешь – грунтовая дорога ,но короче путь;2
3;На грунтовой дороге у туристического мотоцикла сломался кардан, никаких населенных пунктов вблизи не было.Вы оставили мотоцикл и пошли вдоль дороги в поисках помощи.Через некоторое время Вы набрели на хутор.Там старый дед носил воду в баню. Ваши действия:;2
4;Через некоторое время Вы увидели мотель,там Вас встретила молодая девица,которая пригласила Вас потусоваться. Ваши действия:;2
101;Да;2
102;Нет;lose;По пути Вы свернули на асфальтовый хай вэй,разогнались на своем классическом мотоцикле,двигатель заклинило и Вы на большой скорости влетели под грузовик.Шансов на спасение у Вас не было.
201;Поеду направо;4
202;Поеду налево;3
301;Помочь деду;win;Дед ,узнав о Вашей беде, в благодарность подарил Вам хорошо сохранившийся "УРАЛ" с коляской.На нем Вы смогли вернуться домой и привезти свой туристический мотоцикл,который положили на коляску .
302;Пройти мимо деда;lose;Вы очень долго шли по грунтовке,нигде не было населенных пунктов.Вы устали,легли спать прямо в траве,пьяный комбайнер не заметил Вас и Вы попали в газонокосилку.
401;Зайду гляну;lose;Девица оказалась клофелинщицей,она напоила Вас,но не рассчитала дозу и у Вас случилась остановка сердца.
402;У меня дома жена!Я уже скучаю по ней,так что извини...;win;Вы проехали мимо,добрались до моря,хорошо отдохнули и через некоторое время вернулись домой.
